timestamp,TypPS,oxygen,pm10,cnt0_5,co,temperature,performance,co2,measuretime,so2,no2,cnt5,pm1,cnt1,dewpt,tvoc,pressure,cnt10,dCO2dt,sound_max,health,temperature_o2,cnt2_5,o3,humidity,dHdt,humidity_abs,sound,pm2_5,cnt0_3,n_danger,event,location
2023-06-24 01:58:00,Moderate,Excellent,Excellent,Excellent,Excellent,Excellent,Good,Excellent,,Poor,Good,Excellent,Excellent,Excellent,Good,Excellent,Excellent,Excellent,Moderate,Good,Good,Good,Excellent,Excellent,Moderate,Good,Moderate,Good,Excellent,Excellent,1.0,normal,apartment
2023-06-24 02:00:00,Moderate,Excellent,Excellent,Excellent,Excellent,Excellent,Good,Excellent,,Poor,Good,Excellent,Excellent,Excellent,Good,Excellent,Excellent,Excellent,Moderate,Moderate,Good,Good,Excellent,Excellent,Moderate,Good,Moderate,Good,Excellent,Excellent,1.0,normal,apartment
2023-06-24 02:02:00,Poor,Excellent,Excellent,Excellent,Excellent,Excellent,Good,Excellent,,Poor,Good,Excellent,Excellent,Excellent,Good,Excellent,Excellent,Excellent,Excellent,Good,Good,Good,Excellent,Excellent,Moderate,Excellent,Moderate,Good,Excellent,Excellent,2.0,normal,apartment
2023-06-24 02:04:00,Moderate,Excellent,Excellent,Excellent,Excellent,Excellent,Good,Excellent,,Poor,Good,Excellent,Excellent,Excellent,Good,Excellent,Excellent,Excellent,Good,Good,Good,Good,Excellent,Excellent,Moderate,Good,Moderate,Good,Excellent,Excellent,1.0,normal,apartment
2023-06-24 02:06:00,Moderate,Excellent,Excellent,Excellent,Excellent,Excellent,Good,Excellent,,Poor,Good,Excellent,Excellent,Excellent,Good,Excellent,Excellent,Excellent,Good,Moderate,Good,Good,Excellent,Excellent,Moderate,Good,Moderate,Good,Excellent,Excellent,1.0,normal,apartment
2023-06-24 02:08:00,Poor,Excellent,Excellent,Excellent,Excellent,Excellent,Good,Excellent,,Poor,Good,Excellent,Excellent,Excellent,Good,Excellent,Excellent,Excellent,Good,Moderate,Good,Good,Excellent,Excellent,Moderate,Good,Moderate,Good,Excellent,Excellent,2.0,normal,apartment
2023-06-24 02:10:00,Moderate,Excellent,Excellent,Excellent,Excellent,Excellent,Good,Excellent,,Poor,Good,Excellent,Excellent,Excellent,Good,Excellent,Excellent,Excellent,Good,Moderate,Good,Good,Excellent,Excellent,Moderate,Excellent,Moderate,Good,Excellent,Excellent,1.0,normal,apartment
2023-06-24 02:12:00,Moderate,Excellent,Excellent,Excellent,Excellent,Excellent,Good,Excellent,,Poor,Good,Excellent,Excellent,Excellent,Good,Excellent,Excellent,Excellent,Excellent,Good,Good,Good,Excellent,Excellent,Moderate,Excellent,Moderate,Good,Excellent,Excellent,1.0,normal,apartment
2023-06-24 02:14:00,Moderate,Excellent,Excellent,Excellent,Excellent,Excellent,Good,Excellent,,Poor,Good,Excellent,Excellent,Excellent,Good,Excellent,Excellent,Excellent,Good,Good,Good,Good,Excellent,Excellent,Moderate,Good,Moderate,Good,Excellent,Excellent,1.0,normal,apartment
2023-06-24 02:16:00,Moderate,Excellent,Excellent,Excellent,Excellent,Excellent,Good,Excellent,,Poor,Good,Excellent,Excellent,Excellent,Good,Excellent,Excellent,Excellent,Good,Good,Good,Good,Excellent,Excellent,Moderate,Good,Moderate,Good,Excellent,Excellent,1.0,normal,apartment
2023-06-24 02:18:00,Moderate,Excellent,Excellent,Excellent,Excellent,Excellent,Good,Excellent,,Poor,Good,Excellent,Excellent,Excellent,Good,Excellent,Excellent,Excellent,Good,Good,Good,Good,Excellent,Excellent,Moderate,Good,Moderate,Good,Excellent,Excellent,1.0,normal,apartment
2023-06-24 02:20:00,Moderate,Excellent,Excellent,Excellent,Excellent,Excellent,Good,Excellent,,Poor,Good,Excellent,Excellent,Excellent,Good,Excellent,Excellent,Excellent,Good,Good,Good,Good,Excellent,Excellent,Moderate,Excellent,Moderate,Good,Excellent,Excellent,1.0,normal,apartment
2023-06-24 02:22:00,Moderate,Excellent,Excellent,Excellent,Excellent,Excellent,Good,Excellent,,Poor,Good,Excellent,Excellent,Excellent,Good,Excellent,Excellent,Excellent,Good,Good,Good,Good,Excellent,Excellent,Moderate,Good,Moderate,Good,Excellent,Excellent,1.0,normal,apartment
2023-06-24 02:24:00,Moderate,Excellent,Excellent,Excellent,Excellent,Excellent,Good,Excellent,,Poor,Good,Excellent,Excellent,Excellent,Good,Excellent,Excellent,Excellent,Good,Good,Good,Good,Excellent,Excellent,Moderate,Good,Moderate,Good,Excellent,Excellent,1.0,normal,apartment
2023-06-24 02:26:00,Moderate,Excellent,Excellent,Excellent,Excellent,Excellent,Good,Excellent,,Poor,Good,Excellent,Excellent,Excellent,Good,Excellent,Excellent,Excellent,Moderate,Moderate,Moderate,Good,Excellent,Excellent,Moderate,Moderate,Moderate,Good,Excellent,Good,1.0,normal,apartment
2023-06-24 02:28:00,Moderate,Excellent,Excellent,Excellent,Excellent,Excellent,Good,Excellent,,Poor,Good,Excellent,Excellent,Excellent,Good,Excellent,Excellent,Excellent,Moderate,Moderate,Moderate,Good,Excellent,Excellent,Moderate,Moderate,Moderate,Good,Excellent,Excellent,1.0,normal,apartment
2023-06-24 02:30:00,Moderate,Excellent,Excellent,Excellent,Excellent,Excellent,Good,Excellent,,Poor,Good,Excellent,Excellent,Excellent,Good,Excellent,Excellent,Excellent,Good,Good,Moderate,Good,Excellent,Excellent,Moderate,Moderate,Moderate,Good,Excellent,Good,1.0,normal,apartment
2023-06-24 02:32:00,Moderate,Excellent,Excellent,Excellent,Excellent,Excellent,Good,Excellent,,Poor,Good,Excellent,Excellent,Excellent,Good,Excellent,Excellent,Excellent,Good,Good,Good,Good,Excellent,Excellent,Moderate,Excellent,Moderate,Good,Excellent,Excellent,1.0,normal,apartment
2023-06-24 02:34:00,Moderate,Excellent,Excellent,Excellent,Excellent,Excellent,Good,Excellent,,Poor,Good,Excellent,Excellent,Excellent,Good,Excellent,Excellent,Excellent,Good,Good,Good,Good,Excellent,Excellent,Moderate,Good,Moderate,Good,Excellent,Excellent,1.0,normal,apartment
2023-06-24 02:36:00,Moderate,Excellent,Excellent,Excellent,Excellent,Excellent,Good,Excellent,,Poor,Good,Excellent,Excellent,Excellent,Good,Excellent,Excellent,Excellent,Excellent,Good,Moderate,Good,Excellent,Excellent,Moderate,Good,Moderate,Good,Excellent,Excellent,1.0,normal,apartment
2023-06-24 02:38:00,Moderate,Excellent,Excellent,Excellent,Excellent,Excellent,Good,Excellent,,Poor,Good,Excellent,Excellent,Excellent,Good,Excellent,Excellent,Excellent,Excellent,Good,Good,Good,Excellent,Excellent,Moderate,Good,Moderate,Good,Excellent,Good,1.0,normal,apartment
2023-06-24 02:40:00,Poor,Excellent,Excellent,Excellent,Excellent,Excellent,Good,Excellent,,Poor,Good,Excellent,Excellent,Excellent,Good,Excellent,Excellent,Excellent,Good,Good,Moderate,Good,Excellent,Excellent,Moderate,Excellent,Moderate,Good,Excellent,Excellent,2.0,normal,apartment
2023-06-24 02:42:00,Moderate,Excellent,Excellent,Excellent,Excellent,Excellent,Good,Excellent,,Poor,Good,Excellent,Excellent,Excellent,Good,Excellent,Excellent,Excellent,Good,Moderate,Good,Good,Excellent,Excellent,Moderate,Excellent,Moderate,Good,Excellent,Excellent,1.0,normal,apartment
2023-06-24 02:44:00,Moderate,Excellent,Excellent,Excellent,Excellent,Excellent,Good,Excellent,,Poor,Good,Excellent,Excellent,Excellent,Good,Excellent,Excellent,Excellent,Good,Poor,Moderate,Good,Excellent,Excellent,Moderate,Moderate,Moderate,Good,Excellent,Good,2.0,normal,apartment
2023-06-24 02:46:00,Moderate,Excellent,Excellent,Excellent,Excellent,Excellent,Good,Excellent,,Poor,Good,Excellent,Excellent,Excellent,Good,Excellent,Excellent,Excellent,Moderate,Good,Moderate,Good,Excellent,Excellent,Moderate,Poor,Moderate,Good,Excellent,Excellent,2.0,normal,apartment
2023-06-24 02:48:00,Moderate,Excellent,Excellent,Excellent,Excellent,Excellent,Good,Excellent,,Poor,Good,Excellent,Excellent,Excellent,Good,Excellent,Excellent,Excellent,Moderate,Good,Moderate,Good,Excellent,Excellent,Moderate,Moderate,Moderate,Good,Excellent,Good,1.0,normal,apartment
2023-06-24 02:50:00,Moderate,Excellent,Excellent,Excellent,Excellent,Excellent,Moderate,Excellent,,Poor,Good,Excellent,Excellent,Excellent,Good,Moderate,Excellent,Excellent,Poor,Good,Moderate,Good,Excellent,Excellent,Moderate,Moderate,Moderate,Good,Excellent,Excellent,2.0,normal,apartment
2023-06-24 02:52:00,Moderate,Excellent,Excellent,Excellent,Excellent,Excellent,Moderate,Excellent,,Poor,Good,Excellent,Excellent,Excellent,Good,Moderate,Excellent,Excellent,Moderate,Moderate,Moderate,Good,Excellent,Excellent,Moderate,Moderate,Moderate,Good,Excellent,Good,1.0,normal,apartment
2023-06-24 02:54:00,Moderate,Excellent,Excellent,Excellent,Excellent,Excellent,Good,Excellent,,Poor,Good,Excellent,Excellent,Excellent,Good,Good,Excellent,Excellent,Poor,Good,Moderate,Good,Excellent,Excellent,Moderate,Moderate,Moderate,Good,Excellent,Good,2.0,normal,apartment
