window_id,location,start,end,n_samples,gap_frac,event,usable
laboratory_00000,laboratory,2023-03-22 17:42:00,2023-03-22 18:40:00,30,0.0,normal,True
laboratory_00001,laboratory,2023-03-22 18:12:00,2023-03-22 19:10:00,30,0.0,normal,True
laboratory_00002,laboratory,2023-03-22 18:42:00,2023-03-22 19:40:00,30,0.0,normal,True
laboratory_00003,laboratory,2023-03-22 19:12:00,2023-03-22 20:10:00,30,0.0,normal,True
laboratory_00004,laboratory,2023-03-22 19:42:00,2023-03-22 20:40:00,30,0.0,normal,True
laboratory_00005,laboratory,2023-03-22 20:12:00,2023-03-22 21:10:00,30,0.0,normal,True
laboratory_00006,laboratory,2023-03-22 20:42:00,2023-03-22 21:40:00,30,0.0,normal,True
laboratory_00007,laboratory,2023-03-22 21:12:00,2023-03-22 22:10:00,30,0.0,normal,True
laboratory_00008,laboratory,2023-03-22 21:42:00,2023-03-22 22:40:00,30,0.0,normal,True
laboratory_00009,laboratory,2023-03-22 22:12:00,2023-03-22 23:10:00,30,0.0,normal,True
laboratory_00010,laboratory,2023-03-22 22:42:00,2023-03-22 23:40:00,30,0.0,normal,True
laboratory_00011,laboratory,2023-03-22 23:12:00,2023-03-23 00:10:00,30,0.0,normal,True
laboratory_00012,laboratory,2023-03-22 23:42:00,2023-03-23 00:40:00,30,0.0,normal,True
laboratory_00013,laboratory,2023-03-23 00:12:00,2023-03-23 01:10:00,30,0.067,normal,True
laboratory_00014,laboratory,2023-03-23 00:42:00,2023-03-23 01:40:00,30,0.067,normal,True
laboratory_00015,laboratory,2023-03-23 01:12:00,2023-03-23 02:10:00,30,0.0,normal,True
laboratory_00016,laboratory,2023-03-23 01:42:00,2023-03-23 02:40:00,30,0.0,normal,True
laboratory_00017,laboratory,2023-03-23 02:12:00,2023-03-23 03:10:00,30,0.0,normal,True
laboratory_00018,laboratory,2023-03-23 02:42:00,2023-03-23 03:40:00,30,0.0,normal,True
laboratory_00019,laboratory,2023-03-23 03:12:00,2023-03-23 04:10:00,30,0.0,normal,True
laboratory_00020,laboratory,2023-03-23 03:42:00,2023-03-23 04:40:00,30,0.0,normal,True
laboratory_00021,laboratory,2023-03-23 04:12:00,2023-03-23 05:10:00,30,0.0,normal,True
laboratory_00022,laboratory,2023-03-23 04:42:00,2023-03-23 05:40:00,30,0.0,normal,True
laboratory_00023,laboratory,2023-03-23 05:12:00,2023-03-23 06:10:00,30,0.0,normal,True
laboratory_00024,laboratory,2023-03-23 05:42:00,2023-03-23 06:40:00,30,0.0,normal,True
laboratory_00025,laboratory,2023-03-23 06:12:00,2023-03-23 07:10:00,30,0.0,normal,True
laboratory_00026,laboratory,2023-03-23 06:42:00,2023-03-23 07:40:00,30,0.0,normal,True
laboratory_00027,laboratory,2023-03-23 07:12:00,2023-03-23 08:10:00,30,0.0,normal,True
laboratory_00028,laboratory,2023-03-23 07:42:00,2023-03-23 08:40:00,30,0.0,normal,True
laboratory_00029,laboratory,2023-03-23 08:12:00,2023-03-23 09:10:00,30,0.0,normal,True
laboratory_00030,laboratory,2023-03-23 08:42:00,2023-03-23 09:40:00,30,0.0,normal,True
laboratory_00031,laboratory,2023-03-23 09:12:00,2023-03-23 10:10:00,30,0.0,normal,True
laboratory_00032,laboratory,2023-03-23 09:42:00,2023-03-23 10:40:00,30,0.0,normal,True
laboratory_00033,laboratory,2023-03-23 10:12:00,2023-03-23 11:10:00,30,0.0,normal,True
laboratory_00034,laboratory,2023-03-23 10:42:00,2023-03-23 11:40:00,30,0.0,normal,True
laboratory_00035,laboratory,2023-03-23 11:12:00,2023-03-23 12:10:00,30,0.0,normal,True
laboratory_00036,laboratory,2023-03-23 11:42:00,2023-03-23 12:40:00,30,0.0,normal,True
laboratory_00037,laboratory,2023-03-23 12:12:00,2023-03-23 13:10:00,30,0.033,normal,True
laboratory_00038,laboratory,2023-03-23 12:42:00,2023-03-23 13:40:00,30,0.033,normal,True
laboratory_00039,laboratory,2023-03-23 13:12:00,2023-03-23 14:10:00,30,0.0,normal,True
laboratory_00040,laboratory,2023-03-23 13:42:00,2023-03-23 14:40:00,30,0.0,normal,True
laboratory_00041,laboratory,2023-03-23 14:12:00,2023-03-23 15:10:00,30,0.0,normal,True
laboratory_00042,laboratory,2023-03-23 14:42:00,2023-03-23 15:40:00,30,0.033,normal,True
laboratory_00043,laboratory,2023-03-23 15:12:00,2023-03-23 16:10:00,30,0.033,normal,True
laboratory_00044,laboratory,2023-03-23 15:42:00,2023-03-23 16:40:00,30,0.0,normal,True
laboratory_00045,laboratory,2023-03-23 16:12:00,2023-03-23 17:10:00,30,0.0,normal,True
laboratory_00046,laboratory,2023-03-23 16:42:00,2023-03-23 17:40:00,30,0.0,normal,True
laboratory_00047,laboratory,2023-03-23 17:12:00,2023-03-23 18:10:00,30,0.0,normal,True
laboratory_00048,laboratory,2023-03-23 17:42:00,2023-03-23 18:40:00,30,0.033,normal,True
laboratory_00049,laboratory,2023-03-23 18:12:00,2023-03-23 19:10:00,30,0.033,normal,True
laboratory_00050,laboratory,2023-03-23 18:42:00,2023-03-23 19:40:00,30,0.0,normal,True
laboratory_00051,laboratory,2023-03-23 19:12:00,2023-03-23 20:10:00,30,0.0,normal,True
laboratory_00052,laboratory,2023-03-23 19:42:00,2023-03-23 20:40:00,30,0.0,normal,True
laboratory_00053,laboratory,2023-03-23 20:12:00,2023-03-23 21:10:00,30,0.033,normal,True
laboratory_00054,laboratory,2023-03-23 20:42:00,2023-03-23 21:40:00,30,0.033,normal,True
laboratory_00055,laboratory,2023-03-23 21:12:00,2023-03-23 22:10:00,30,0.0,normal,True
laboratory_00056,laboratory,2023-03-23 21:42:00,2023-03-23 22:40:00,30,0.0,normal,True
laboratory_00057,laboratory,2023-03-23 22:12:00,2023-03-23 23:10:00,30,0.0,normal,True
laboratory_00058,laboratory,2023-03-23 22:42:00,2023-03-23 23:40:00,30,0.033,normal,True
laboratory_00059,laboratory,2023-03-23 23:12:00,2023-03-24 00:10:00,30,0.033,normal,True
laboratory_00060,laboratory,2023-03-23 23:42:00,2023-03-24 00:40:00,30,0.0,normal,True
laboratory_00061,laboratory,2023-03-24 00:12:00,2023-03-24 01:10:00,30,0.0,normal,True
laboratory_00062,laboratory,2023-03-24 00:42:00,2023-03-24 01:40:00,30,0.0,normal,True
laboratory_00063,laboratory,2023-03-24 01:12:00,2023-03-24 02:10:00,30,0.0,normal,True
laboratory_00064,laboratory,2023-03-24 01:42:00,2023-03-24 02:40:00,30,0.033,normal,True
laboratory_00065,laboratory,2023-03-24 02:12:00,2023-03-24 03:10:00,30,0.033,normal,True
laboratory_00066,laboratory,2023-03-24 02:42:00,2023-03-24 03:40:00,30,0.0,normal,True
laboratory_00067,laboratory,2023-03-24 03:12:00,2023-03-24 04:10:00,30,0.0,normal,True
laboratory_00068,laboratory,2023-03-24 03:42:00,2023-03-24 04:40:00,30,0.0,normal,True
laboratory_00069,laboratory,2023-03-24 04:12:00,2023-03-24 05:10:00,30,0.0,normal,True
laboratory_00070,laboratory,2023-03-24 04:42:00,2023-03-24 05:40:00,30,0.0,normal,True
laboratory_00071,laboratory,2023-03-24 05:12:00,2023-03-24 06:10:00,30,0.0,normal,True
laboratory_00072,laboratory,2023-03-24 05:42:00,2023-03-24 06:40:00,30,0.033,normal,True
laboratory_00073,laboratory,2023-03-24 06:12:00,2023-03-24 07:10:00,30,0.033,normal,True
laboratory_00074,laboratory,2023-03-24 06:42:00,2023-03-24 07:40:00,30,0.0,normal,True
laboratory_00075,laboratory,2023-03-24 07:12:00,2023-03-24 08:10:00,30,0.0,normal,True
